iter	RMSE
0	93.35272588
1	86.31063767
2	80.03444723
3	74.12947748
4	69.13227203
5	64.64146793
6	60.59373891
7	56.86248649
8	53.80486855
9	50.8293074
10	48.29087418
11	46.12229952
12	44.18184168
13	42.45396298
14	40.99417263
15	39.65242409
16	38.47419497
17	37.48400413
18	36.62000706
19	35.86745266
20	35.14581876
21	34.55257
22	34.04889589
23	33.5743175
24	33.15884353
25	32.74266809
26	32.42301213
27	32.13945747
28	31.88021369
29	31.60722523
30	31.40256135
31	31.2011846
32	31.03622849
33	30.88885397
34	30.73257292
35	30.57955617
36	30.44957107
37	30.33031753
38	30.20810274
39	30.12356057
40	30.03278599
41	29.92956477
42	29.8387711
43	29.75420569
44	29.70646974
45	29.63821
46	29.57672675
47	29.50912012
48	29.45304336
49	29.38573146
50	29.30904331
51	29.27215365
52	29.21376387
53	29.15454317
54	29.08942698
55	29.02758685
56	28.9854605
57	28.94971156
58	28.90309957
59	28.86186778
60	28.8111888
61	28.77818563
62	28.74630397
63	28.69131766
64	28.66115393
65	28.61478858
66	28.58641661
67	28.53754312
68	28.49608526
69	28.44654785
70	28.41894684
71	28.35650274
72	28.31377697
73	28.26569273
74	28.22343953
75	28.18230094
76	28.15765253
77	28.10231478
78	28.07725919
79	28.01067892
80	27.97035057
81	27.92493509
82	27.88830606
83	27.85155567
84	27.8160505
85	27.78210056
86	27.73504863
87	27.71711886
88	27.67960104
89	27.63878045
90	27.55976658
91	27.53677019
92	27.51071563
93	27.4830429
94	27.45728643
95	27.4104089
96	27.38030434
97	27.34804376
98	27.32683672
99	27.30478011
100	27.25983133
101	27.20015839
102	27.16923205
103	27.14213038
104	27.08178934
105	27.04723588
106	27.00407902
107	26.98362163
108	26.95328238
109	26.91718809
110	26.89304587
111	26.86133044
112	26.8418795
113	26.81651077
114	26.79199793
115	26.77494274
116	26.73670328
117	26.69374399
118	26.66124981
119	26.63832521
120	26.61399202
121	26.57651762
122	26.55017186
123	26.52371762
124	26.49996574
125	26.47288333
126	26.43917016
127	26.41026522
128	26.3805892
129	26.35640509
130	26.31181597
131	26.28638788
132	26.27245654
133	26.25123854
134	26.22361793
135	26.1937634
136	26.16588918
137	26.14468855
138	26.12041566
139	26.10434585
140	26.07749529
141	26.05522501
142	26.02496606
143	26.00095372
144	25.97496358
145	25.945037
146	25.91715681
147	25.8998632
148	25.87499181
149	25.86441362
150	25.84338726
151	25.81439163
152	25.78868648
153	25.76639231
154	25.73715327
155	25.72007429
156	25.67868394
157	25.64517876
158	25.62618786
159	25.60779676
160	25.58939521
161	25.56112501
162	25.53972397
163	25.51178819
164	25.49425686
165	25.4756605
166	25.44717443
167	25.43352559
168	25.39372812
169	25.36403073
170	25.34181445
171	25.3257112
172	25.29003616
173	25.27385953
174	25.24437147
175	25.21907425
176	25.20706175
177	25.18930744
178	25.15684688
179	25.1295872
180	25.09816082
181	25.08212403
182	25.05210992
183	25.04170938
184	25.01832194
185	24.99455225
186	24.96357926
187	24.94162633
188	24.91970563
189	24.90155882
190	24.88665285
191	24.87876961
192	24.85697094
193	24.84046674
194	24.81828533
195	24.80008276
196	24.77784759
197	24.75082671
198	24.73036181
199	24.70417852
200	24.68355689
201	24.67097423
202	24.65089949
203	24.63760352
204	24.61587591
205	24.59731591
206	24.57947577
207	24.55194395
208	24.53354905
209	24.51443503
210	24.49703769
211	24.47482055
212	24.45228976
213	24.44062405
214	24.42612982
215	24.41040782
216	24.39083133
217	24.3598885
218	24.34298008
219	24.32968955
220	24.31195428
221	24.30168366
222	24.2851798
223	24.26498303
224	24.25223178
225	24.23529464
226	24.20879711
227	24.19335526
228	24.1800421
229	24.15714156
230	24.13831498
231	24.12023464
232	24.09851086
233	24.0743708
234	24.0599833
235	24.04197672
236	24.03077642
237	24.01624234
238	24.00159654
239	23.97886177
240	23.96451428
241	23.93929615
242	23.92505778
243	23.90364562
244	23.88712672
245	23.86477053
246	23.8536138
247	23.83820146
248	23.81830198
249	23.80578056
250	23.7899831
251	23.77570622
252	23.76435524
253	23.74894067
254	23.73035617
255	23.71541175
256	23.69792848
257	23.68366531
258	23.67620135
259	23.65589058
260	23.63868687
261	23.62648697
262	23.60903948
263	23.59186031
264	23.58215856
265	23.57380183
266	23.55584136
267	23.53496938
268	23.52127687
269	23.50785899
270	23.4949598
271	23.48835905
272	23.47978207
273	23.46081305
274	23.44769365
275	23.43893612
276	23.42773026
277	23.41924774
278	23.39165119
279	23.38331421
280	23.36806336
281	23.35738352
282	23.3448901
283	23.3261932
284	23.3088294
285	23.30024366
286	23.28390308
287	23.27576573
288	23.26276875
289	23.24541607
290	23.23310389
291	23.21718711
292	23.20950319
293	23.19395046
294	23.17633086
295	23.16199537
296	23.14573582
297	23.13056224
298	23.12121368
299	23.11179834
300	23.10294471
301	23.08480641
302	23.07022552
303	23.05836438
304	23.04126118
305	23.02218628
306	23.00081828
307	22.98589501
308	22.9704426
309	22.95146409
310	22.93993199
311	22.92620251
312	22.91208204
313	22.89837941
314	22.88773595
315	22.87325354
316	22.86512387
317	22.8494565
318	22.83608375
319	22.8234669
320	22.81455582
321	22.80578982
322	22.79154267
323	22.78049344
324	22.7690334
325	22.75895364
326	22.75363901
327	22.73801256
328	22.72249374
329	22.70921742
330	22.69964581
331	22.68619491
332	22.67445333
333	22.66001487
334	22.64881385
335	22.63867256
336	22.63363008
337	22.62414036
338	22.61006019
339	22.60155788
340	22.58906209
341	22.57137925
342	22.5602351
343	22.55144283
344	22.54013036
345	22.52751608
346	22.51672928
347	22.50552555
348	22.49192675
349	22.47293836
350	22.45977991
351	22.45415968
352	22.44623057
353	22.43778571
354	22.42869359
355	22.42147375
356	22.40372801
357	22.39453834
358	22.37927114
359	22.36479643
360	22.35810356
361	22.3445556
362	22.33360845
363	22.31195789
364	22.306077
365	22.29635023
366	22.28888041
367	22.27853925
368	22.26458116
369	22.25618522
370	22.24392414
371	22.23575521
372	22.22771041
373	22.22137866
374	22.20863265
375	22.20008429
376	22.19084019
377	22.18800535
378	22.1749355
379	22.1645381
380	22.15912279
381	22.14755798
382	22.13914756
383	22.12940447
384	22.11969543
385	22.09870248
386	22.08679396
387	22.07704818
388	22.06256499
389	22.05511687
390	22.04833807
391	22.03248763
392	22.01836323
393	22.006354
394	21.9911701
395	21.97578923
396	21.96638934
397	21.96153534
398	21.95349314
399	21.94244781
400	21.92765285
401	21.91756297
402	21.91244586
403	21.90033615
404	21.89314112
405	21.881815
406	21.87122628
407	21.85924841
408	21.8498876
409	21.84068488
410	21.83373831
411	21.8197416
412	21.80928612
413	21.80058077
414	21.78991969
415	21.78163313
416	21.768833
417	21.75934856
418	21.7464356
419	21.73396187
420	21.72426102
421	21.71189761
422	21.69955494
423	21.68716149
424	21.67711697
425	21.66791991
426	21.65932736
427	21.64740188
428	21.63559663
429	21.62787967
430	21.62128461
431	21.61407834
432	21.60735324
433	21.59443805
434	21.58285706
435	21.57496729
436	21.56835352
437	21.55516519
438	21.54835952
439	21.53774116
440	21.5289413
441	21.51586262
442	21.49976138
443	21.49020042
444	21.48290128
445	21.4725269
446	21.45765964
447	21.45316483
448	21.44250521
449	21.43400674
450	21.4208133
451	21.41030417
452	21.39843843
453	21.3822021
454	21.37458408
455	21.36426806
456	21.35517311
457	21.34453285
458	21.33367963
459	21.31512958
460	21.30842807
461	21.30289411
462	21.29034129
463	21.28703052
464	21.27931658
465	21.26601203
466	21.25491196
467	21.24711223
468	21.236647
469	21.22009987
470	21.21166096
471	21.20729413
472	21.19979916
473	21.18833318
474	21.176222
475	21.16968195
476	21.16107962
477	21.15599052
478	21.14495053
479	21.1369248
480	21.12570223
481	21.10956175
482	21.09758164
483	21.09333433
484	21.08697607
485	21.07709214
486	21.06989446
487	21.06258914
488	21.05043085
489	21.0428099
490	21.03629548
491	21.03062697
492	21.01767661
493	21.01165048
494	21.00355898
495	20.99272066
496	20.9833758
497	20.97618447
498	20.96693847
499	20.96285154
