iter	Passed	Remaining
0	144	72070
1	152	37988
2	162	26945
3	168	20931
4	177	17584
5	183	15067
6	190	13408
7	195	12052
8	200	10953
9	209	10266
10	214	9542
11	221	8990
12	227	8512
13	231	8047
14	239	7736
15	244	7397
16	248	7072
17	257	6890
18	262	6637
19	266	6397
20	272	6225
21	277	6024
22	280	5827
23	288	5715
24	293	5567
25	297	5422
26	304	5328
27	308	5206
28	313	5092
29	320	5024
30	325	4927
31	331	4843
32	337	4775
33	342	4690
34	349	4637
35	354	4571
36	359	4500
37	366	4458
38	371	4392
39	377	4341
40	385	4320
41	391	4266
42	396	4216
43	404	4189
44	409	4144
45	417	4118
46	422	4074
47	428	4034
48	436	4013
49	441	3976
50	450	3969
51	456	3930
52	462	3902
53	468	3873
54	474	3842
55	483	3835
56	489	3803
57	495	3779
58	501	3744
59	505	3705
60	511	3683
61	517	3653
62	521	3616
63	527	3593
64	532	3564
65	537	3531
66	543	3513
67	548	3486
68	553	3456
69	560	3441
70	565	3414
71	569	3386
72	576	3371
73	581	3346
74	586	3321
75	592	3305
76	597	3282
77	603	3263
78	609	3249
79	614	3228
80	619	3202
81	625	3190
82	631	3172
83	635	3149
84	642	3139
85	648	3123
86	653	3104
87	660	3091
88	665	3072
89	670	3056
90	677	3043
91	681	3024
92	687	3009
93	692	2992
94	697	2972
95	703	2958
96	708	2944
97	713	2927
98	719	2912
99	724	2897
100	729	2880
101	737	2879
102	743	2864
103	747	2846
104	754	2838
105	759	2821
106	764	2807
107	771	2799
108	776	2784
109	780	2768
110	787	2759
111	792	2744
112	796	2727
113	803	2720
114	811	2717
115	818	2710
116	823	2695
117	827	2678
118	833	2668
119	838	2653
120	842	2639
121	848	2629
122	853	2616
123	857	2601
124	861	2584
125	867	2575
126	873	2564
127	877	2550
128	884	2542
129	888	2528
130	892	2513
131	898	2503
132	903	2491
133	906	2477
134	911	2463
135	916	2454
136	921	2440
137	924	2425
138	931	2418
139	935	2406
140	939	2392
141	944	2381
142	950	2373
143	954	2360
144	960	2352
145	967	2345
146	972	2334
147	979	2329
148	984	2318
149	988	2307
150	995	2300
151	1000	2290
152	1004	2279
153	1011	2272
154	1016	2262
155	1020	2251
156	1028	2247
157	1034	2239
158	1039	2229
159	1045	2221
160	1050	2211
161	1054	2200
162	1061	2194
163	1066	2185
164	1071	2175
165	1077	2168
166	1082	2159
167	1087	2148
168	1094	2142
169	1099	2133
170	1104	2125
171	1110	2116
172	1115	2108
173	1121	2101
174	1127	2094
175	1133	2086
176	1138	2078
177	1144	2071
178	1149	2061
179	1159	2061
180	1165	2053
181	1246	2177
182	1252	2170
183	1258	2161
184	1263	2151
185	1285	2169
186	1292	2164
187	1299	2156
188	1308	2153
189	1316	2147
190	1325	2144
191	1329	2133
192	1338	2128
193	1343	2118
194	1350	2111
195	1356	2103
196	1362	2095
197	1369	2088
198	1373	2077
199	1378	2067
200	1384	2059
201	1388	2048
202	1392	2037
203	1397	2028
204	1402	2018
205	1406	2007
206	1410	1996
207	1417	1989
208	1421	1978
209	1425	1967
210	1431	1960
211	1435	1950
212	1439	1939
213	1443	1929
214	1449	1921
215	1453	1911
216	1458	1901
217	1463	1893
218	1468	1884
219	1472	1874
220	1477	1864
221	1483	1857
222	1488	1848
223	1492	1838
224	1498	1830
225	1502	1821
226	1506	1811
227	1512	1804
228	1516	1795
229	1521	1785
230	1526	1777
231	1530	1768
232	1535	1759
233	1539	1750
234	1546	1743
235	1551	1735
236	1555	1725
237	1562	1719
238	1567	1711
239	1571	1702
240	1578	1696
241	1584	1689
242	1590	1681
243	1596	1674
244	1600	1666
245	1605	1657
246	1611	1650
247	1615	1641
248	1619	1632
249	1626	1626
250	1630	1617
251	1634	1608
252	1641	1602
253	1646	1594
254	1650	1585
255	1656	1578
256	1660	1570
257	1665	1561
258	1669	1553
259	1675	1546
260	1679	1538
261	1683	1529
262	1690	1523
263	1694	1515
264	1698	1506
265	1704	1499
266	1709	1491
267	1713	1483
268	1721	1478
269	1726	1470
270	1730	1462
271	1734	1454
272	1740	1446
273	1744	1439
274	1749	1431
275	1755	1424
276	1759	1416
277	1763	1408
278	1770	1402
279	1774	1394
280	1778	1386
